impression_id,user_id,clicked,score,candidate_news_id,candidate_title
10207,U24163,0,0.037921367887889953,N49285,"Pete Davidson, Kaia Gerber Are Dating, Trying to Stay 'Low Profile'"
10207,U24163,0,0.031002657143683273,N17807,The Coolest Car Lamborghini Never Made Is Up For Sale
10207,U24163,1,0.025327556344406317,N53242,How to Watch the Leonid Meteor Shower This Weekend
10756,U20979,0,0.0,N23513,This was uglier than a brawl. And Myles Garrett deserves suspension for rest of year after helmet attack.
10756,U20979,0,0.0,N36779,South Carolina teen gets life in prison for deadly elementary school shooting
10756,U20979,1,0.0,N20036,30 Best Black Friday Deals from Costco
1091,U58223,0,0.026636658599119917,N36940,"Taylor Swift Says Scooter Braun, Scott Borchetta Are Blocking Her From Playing Old Hits at AMAs"
1091,U58223,0,0.02511891821313613,N11930,The most talked about movie moments of the 2010s
1091,U58223,0,0.019263289687640333,N31958,Opinion: Colin Kaepernick is about to get what he deserves: a chance
11551,U15248,0,0.049180047678089464,N62365,The Unlikely Star of My Family's Thanksgiving Table
11551,U15248,0,0.028046494097043177,N60762,Last survivor of the Hindenburg disaster dies at age 90
11551,U15248,0,0.026656033486855076,N45057,Dozens of Colorado sheriffs say they won't enforce red flag gun law
12578,U25867,0,0.0352962077496475,N30699,California and nearly two dozen other states sue Trump administration for the right to set fuel-efficiency standards
12578,U25867,0,0.032019445041048644,N60215,Pair Of 'New' 1987 Buick Grand Nationals Pulled From Garage After 30 Years
12578,U25867,0,0.022140334835512872,N24675,"Cake Boss made Carlo's Bakery famous, but the New Jersey bakery was a staple for Italian pastries 100 years before the show aired -- here's why"
128,U78907,1,0.04956827590287549,N29393,Supporting your adult children can ruin your retirement plans
128,U78907,0,0.03135253865497356,N5051,Kentucky woman charged in death of woman missing since May
128,U78907,0,0.026603524509350274,N36940,"Taylor Swift Says Scooter Braun, Scott Borchetta Are Blocking Her From Playing Old Hits at AMAs"
13621,U69693,0,0.009829609419486308,N42767,FDA issues warning to Dollar Tree about selling 'potentially unsafe drugs'
13621,U69693,0,0.007996349408456043,N32536,"High tides surge through Venice, locals rush to protect art"
13621,U69693,1,0.007063840973197186,N36779,South Carolina teen gets life in prison for deadly elementary school shooting
1584,U28493,0,0.027101070929559087,N36940,"Taylor Swift Says Scooter Braun, Scott Borchetta Are Blocking Her From Playing Old Hits at AMAs"
1584,U28493,0,0.024868580216908874,N58098,85 Thanksgiving Recipes You Can Make Ahead
1584,U28493,0,0.022616554470368595,N30290,The Real Reason McDonald's Keeps the Filet-O-Fish on Their Menu
15940,U45427,0,0.03459225434971068,N39393,Christopher Reeve's Son Remembers Dad 15 Years After His Death: His Legacy 'Will Always Live On'
15940,U45427,0,0.023523044593359833,N3168,How Google Interferes With Its Search Algorithms and Changes Your Results
15940,U45427,0,0.01740703539861232,N58748,Father-daughter first dance medley had every guest on their feet
1604,U48568,0,0.011618397502748292,N13408,Raise Billions From Billionaires? Tax Experts Say It's Not That Simple
1604,U48568,1,0.011215605552241732,N19990,Cows swept away by Hurricane Dorian found alive   but how?
1604,U48568,0,0.011103789497510834,N31958,Opinion: Colin Kaepernick is about to get what he deserves: a chance
