impression_id,user_id,candidate_news_id,clicked,score
10207,U24163,N49285,0,0.037921367887889953
10207,U24163,N17807,0,0.031002657143683273
10207,U24163,N53242,1,0.025327556344406317
10756,U20979,N23513,0,0.0
10756,U20979,N36779,0,0.0
10756,U20979,N20036,1,0.0
1091,U58223,N36940,0,0.026636658599119917
1091,U58223,N11930,0,0.02511891821313613
1091,U58223,N31958,0,0.019263289687640333
11551,U15248,N62365,0,0.049180047678089464
11551,U15248,N60762,0,0.028046494097043177
11551,U15248,N45057,0,0.026656033486855076
12578,U25867,N30699,0,0.0352962077496475
12578,U25867,N60215,0,0.032019445041048644
12578,U25867,N24675,0,0.022140334835512872
128,U78907,N29393,1,0.04956827590287549
128,U78907,N5051,0,0.03135253865497356
128,U78907,N36940,0,0.026603524509350274
13621,U69693,N42767,0,0.009829609419486308
13621,U69693,N32536,0,0.007996349408456043
13621,U69693,N36779,1,0.007063840973197186
1584,U28493,N36940,0,0.027101070929559087
1584,U28493,N58098,0,0.024868580216908874
1584,U28493,N30290,0,0.022616554470368595
15940,U45427,N39393,0,0.03459225434971068
15940,U45427,N3168,0,0.023523044593359833
15940,U45427,N58748,0,0.01740703539861232
1604,U48568,N13408,0,0.011618397502748292
1604,U48568,N19990,1,0.011215605552241732
1604,U48568,N31958,0,0.011103789497510834
